repn	predictor.dsgtailp	predictor.mdctailp	predictor.MDCscore	predictor.U1	predictor.U2	model.id
AJB/007/002	-0.420979749177967	-0.642925607172749	3	-0.5	-0.555555555555556	HGT
AJB/007/002	-0.725409360170315	-0.642925607172749	60	0.5	0.333333333333333	HGT
AJB/007/002	-0.725409360170315	3.02459556934173	43809.5238095257	3.5	3.44444444444444	HGT
AJB/007/002	-0.725409360170315	-0.904891405495212	3.80952380952397	-1	-1	HGT
AJB/007/002	0.492309083799076	0.404937586117101	3	-1	-0.111111111111111	HGT
AJB/007/002	1.10116830578377	0.928869182762027	60	0	-0.111111111111111	HGT
AJB/007/002	0.492309083799076	0.928869182762027	1.5	0	0.333333333333333	HGT
AJB/007/002	0.187879472806728	0.404937586117101	6.42857142857171	-0.5	-0.111111111111111	HGT
AJB/007/002	3.23217558273021	8.00194573746852	1171688000.00005	1.5	3.44444444444444	HGT
AJB/007/002	1.40559791677612	2.5006639726968	33942.8571428586	-0.5	0.777777777777778	HGT
AJB/007/002	2.92774597173786	4.33442456095404	67.5	2	1.66666666666667	HGT
AJB/007/002	0.492309083799076	0.928869182762027	2	-1	-0.111111111111111	HGT
AJB/007/002	-0.116550138185619	-0.118994010527824	12	-1	0.333333333333333	HGT
AJB/007/002	-0.420979749177967	-0.642925607172749	4	0.5	0.333333333333333	HGT
AJB/007/002	1.40559791677612	3.02459556934173	43200	1.5	1.66666666666667	HGT
AJB/007/002	0.796738694791424	0.928869182762027	405	0	0.333333333333333	HGT
AJB/007/002	2.01445713876082	2.23869817437434	60	-0.5	0.777777777777778	HGT
AJB/007/002	1.10116830578377	1.71476657772941	270	2	2.11111111111111	HGT
AJB/007/002	1.10116830578377	1.45280077940695	2285.71428571438	2	3	HGT
AJB/007/002	0.492309083799076	0.142971787794639	1.5	-0.5	-0.555555555555556	HGT
AJB/007/002	0.796738694791424	0.928869182762027	4	-0.5	-0.111111111111111	HGT
AJB/007/002	-1.63869819314736	-1.6907888004626	24	-1	1.22222222222222	HGT
AJB/007/002	2.01445713876082	2.23869817437434	22.8571428571438	1	0.777777777777778	HGT
AJB/007/002	-0.725409360170315	-0.642925607172749	6	-1	-1	HGT
AJB/007/002	1.10116830578377	5.12032195592143	839843.750000036	3	3	HGT
AJB/007/002	2.92774597173786	14.0271590988852	101648736000	4.5	3.88888888888889	HGT
AJB/007/002	0.796738694791424	0.666903384439564	900	0	0.777777777777778	HGT
AJB/007/002	2.92774597173786	8.26391153579098	6438824228.57171	3	3.44444444444444	HGT
AJB/007/002	-0.420979749177967	0.142971787794639	140	-0.5	-0.111111111111111	HGT
AJB/007/002	0.187879472806728	1.19083498108449	1512	0	1.22222222222222	HGT
AJB/007/002	1.40559791677612	3.54852716598665	4876.19047619069	2.5	2.55555555555556	HGT
AJB/007/002	2.01445713876082	4.5963903592765	46080	0.5	3	HGT
AJB/007/002	2.01445713876082	2.23869817437434	17.1428571428579	-1	-0.111111111111111	HGT
AJB/007/002	0.796738694791424	1.19083498108449	15	0	0.333333333333333	HGT
AJB/007/002	-0.116550138185619	0.142971787794639	102.857142857147	0	0.333333333333333	HGT
AJB/007/002	3.53660519372255	11.1455353173381	55697969250	6	6.55555555555556	HGT
AJB/007/002	-0.116550138185619	0.404937586117101	24	0	-0.111111111111111	HGT
AJB/007/002	-0.116550138185619	0.404937586117101	1944	-0.5	-0.111111111111111	HGT
AJB/007/002	0.187879472806728	0.404937586117101	2	-1	-0.555555555555556	HGT
AJB/007/002	0.187879472806728	0.142971787794639	24	0	-0.111111111111111	HGT
AJB/007/002	0.492309083799076	1.45280077940695	4851	-1	-1	HGT
AJB/007/002	2.01445713876082	5.90621935088882	3870000	2.5	2.11111111111111	HGT
AJB/007/002	0.796738694791424	2.5006639726968	2880	1.5	1.66666666666667	HGT
AJB/007/002	2.92774597173786	3.54852716598665	4937.14285714307	3.5	3.88888888888889	HGT
AJB/007/002	1.71002752776847	2.76262977101926	6582.85714285743	1.5	1.66666666666667	HGT
AJB/007/002	2.62331636074551	7.21604834250113	69498000	3.5	3	HGT
AJB/007/002	-0.116550138185619	0.928869182762027	373.333333333333	0.5	0.777777777777778	HGT
AJB/007/002	0.492309083799076	0.404937586117101	27	0	0.333333333333333	HGT
AJB/007/002	-0.420979749177967	0.142971787794639	1008	-1	-0.111111111111111	HGT
AJB/007/002	0.492309083799076	0.928869182762027	174.149659863961	-1	-0.111111111111111	HGT
AJB/007/002	-1.94312780413971	-1.95275459878506	5.71428571428596	-1	-1	HGT
AJB/007/002	-0.420979749177967	-0.118994010527824	12	-1	-0.555555555555556	HGT
AJB/007/002	1.40559791677612	1.97673237605188	16200	1.5	1.66666666666667	HGT
AJB/007/002	0.796738694791424	2.23869817437434	48489.7959183715	0	1.66666666666667	HGT
AJB/007/002	-0.116550138185619	0.142971787794639	217.687074829951	0	0.333333333333333	HGT
AJB/007/002	-0.420979749177967	-0.380959808850287	18	-1	-1	HGT
AJB/007/002	2.01445713876082	3.54852716598665	1040	2.5	2.55555555555556	HGT
AJB/007/002	0.796738694791424	7.47801414082359	1187524800.00005	3.5	3.88888888888889	HGT
AJB/007/002	0.187879472806728	2.76262977101926	234.375	1.5	1.66666666666667	HGT
AJB/007/002	-0.725409360170315	-0.642925607172749	1	-1	-1	HGT
AJB/007/002	2.62331636074551	3.28656136766419	1322.44897959195	0.5	2.55555555555556	HGT
AJB/007/002	0.492309083799076	1.97673237605188	79380	2.5	2.11111111111111	HGT
AJB/007/002	0.187879472806728	0.928869182762027	1120	2	1.66666666666667	HGT
AJB/007/002	0.187879472806728	-0.118994010527824	2	-1	-0.555555555555556	HGT
AJB/007/002	2.62331636074551	3.28656136766419	480	3	3.44444444444444	HGT
AJB/007/002	-1.02983897116266	-0.904891405495212	2.25	-1	-1	HGT
AJB/007/002	1.71002752776847	1.97673237605188	90	-0.5	0.333333333333333	HGT
AJB/007/002	0.187879472806728	0.404937586117101	40	0	0.777777777777778	HGT
AJB/007/002	0.796738694791424	0.666903384439564	48	-0.5	1.22222222222222	HGT
AJB/007/002	-0.116550138185619	0.142971787794639	210	0	0.333333333333333	HGT
AJB/007/002	-1.02983897116266	-1.16685720381767	1	-1	-1	HGT
AJB/007/002	2.01445713876082	1.45280077940695	27	0.5	0.333333333333333	HGT
AJB/007/002	0.796738694791424	0.928869182762027	1782.85714285722	0.5	1.66666666666667	HGT
AJB/007/002	2.62331636074551	8.26391153579098	158120256	4	4.33333333333333	HGT
AJB/007/002	0.492309083799076	0.404937586117101	94.5	0.5	0.777777777777778	HGT
AJB/007/002	0.187879472806728	1.97673237605188	16091.4285714293	2	1.66666666666667	HGT
AJB/007/002	2.31888674975316	4.33442456095404	930000	1.5	2.11111111111111	HGT
AJB/007/002	1.10116830578377	2.5006639726968	1414.28571428578	0.5	1.66666666666667	HGT
AJB/007/002	-0.116550138185619	0.404937586117101	571.428571428596	-0.5	0.333333333333333	HGT
AJB/007/002	3.23217558273021	10.0976721240482	51586733520	4	4.33333333333333	HGT
